=== GEMINI STATIC ANALYSIS RUN TRACE LOG (7/13/2026 7:35:09 PM) ===
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
[Deduction] -5.00 pts | Severity: Warning (0) | Rule:  () | Target:  @ Line 0
